"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-08-12,45451,376,35772,9303
2020-08-13,46009,377,36639,8993
2020-08-14,46366,381,37304,8681
2020-08-15,46705,388,37660,8657
2020-08-16,46944,390,38093,8461
2020-08-17,47206,391,38515,8300
2020-08-18,47570,393,38849,8328
2020-08-19,48028,395,39340,8293
2020-08-20,48511,397,39845,8269
2020-08-21,48886,404,40333,8149
2020-08-22,49184,406,40812,7966
2020-08-23,49433,409,41147,7877
2020-08-24,49835,411,41515,7909
2020-08-25,50248,413,41921,7914
2020-08-26,50635,413,42493,7729
2020-08-27,51026,415,42943,7668
2020-08-28,51499,415,43325,7759
2020-08-29,51962,416,43705,7841
2020-08-30,52218,417,43975,7826
2020-08-31,52507,418,44323,7766
2020-09-01,52929,422,44643,7864
2020-09-02,53443,424,44977,8042
2020-09-03,53950,429,45535,7986
2020-09-04,54403,434,45889,8080
2020-09-05,54806,435,46226,8145
2020-09-06,55147,439,46461,8247
2020-09-07,55463,440,46720,8303
2020-09-08,55776,442,47080,8254
2020-09-09,56164,442,47537,8185
2020-09-10,56844,444,48019,8381
2020-09-11,57433,445,48393,8595
2020-09-12,58089,447,48689,8953
2020-09-13,58646,448,48938,9260
2020-09-14,59226,449,49338,9439
2020-09-15,59973,449,49745,9779
2020-09-16,60891,450,50129,10312
2020-09-17,62014,451,50515,11048
2020-09-18,63105,453,50987,11665
2020-09-19,64025,454,51449,12122
2020-09-20,64666,455,51703,12508
2020-09-21,65302,457,51990,12855
2020-09-22,66197,458,52408,13331
2020-09-23,67433,462,52920,14051
2020-09-24,68867,466,53425,14976
2020-09-25,69898,471,53876,15551
2020-09-26,70976,476,54277,16223
2020-09-27,71862,477,54616,16769
2020-09-28,72526,480,54931,17115
2020-09-29,73451,482,55243,17726
2020-09-30,74454,488,55628,18338
2020-10-01,75585,493,56302,18790
2020-10-02,76687,494,56889,19304
2020-10-03,78078,501,57541,20036
2020-10-04,79163,506,58095,20562
2020-10-05,79902,509,58672,20721
2020-10-06,80897,519,59414,20964
2020-10-07,82408,527,60328,21553
2020-10-08,83776,533,61448,21795
2020-10-09,85149,538,62535,22076
2020-10-10,86367,542,63450,22375
2020-10-11,87361,549,64088,22724
2020-10-12,88321,551,64722,23048
2020-10-13,89470,554,65611,23305
2020-10-14,90987,559,66838,23590
2020-10-15,92510,565,68259,23686
2020-10-16,93843,569,69282,23992
2020-10-17,94968,574,70353,24041
2020-10-18,96148,579,71237,24332
2020-10-19,97204,580,71897,24727
2020-10-20,98502,584,72817,25101
2020-10-21,100154,595,73803,25756
2020-10-22,102174,597,74927,26650
2020-10-23,103808,601,76026,27181
2020-10-24,105635,609,77411,27615
2020-10-25,106811,613,78490,27708
2020-10-26,107945,618,79227,28100
2020-10-27,109535,627,80213,28695
2020-10-28,111395,635,81719,29041
2020-10-29,113788,640,83078,30070
2020-10-30,115515,654,84445,30416
2020-10-31,117389,657,85653,31079
2020-11-01,118598,665,86639,31294
2020-11-02,120284,672,87597,32015
2020-11-03,122419,691,88739,32989
2020-11-04,125263,695,90242,34326
2020-11-05,128310,710,91758,35842
2020-11-06,131317,722,93086,37509
2020-11-07,133770,726,94206,38838
2020-11-08,136018,737,95376,39905
2020-11-09,138457,743,96425,41289
2020-11-10,140775,751,97714,42310
2020-11-11,144776,765,99354,44657
2020-11-12,148218,773,101364,46081
2020-11-13,152338,786,102993,48559
2020-11-14,155002,800,104814,49388
2020-11-15,156991,813,105984,50194
2020-11-16,160179,824,107108,52247
2020-11-17,163183,840,108681,53662
2020-11-18,167188,858,110527,55803
2020-11-19,171831,877,112905,58049
2020-11-20,175233,896,114621,59716
2020-11-21,178516,907,116484,61125
2020-11-22,180739,921,117687,62131
2020-11-23,183410,941,119362,63107
2020-11-24,185195,967,121484,62744
2020-11-25,189084,977,124310,63797
2020-11-26,191389,993,127329,63067
2020-11-27,193466,1002,130315,62149
2020-11-28,195210,1012,132754,61444
2020-11-29,197130,1032,134990,61108
2020-11-30,199664,1049,137413,61202
2020-12-01,203713,1071,139713,62929
2020-12-02,207657,1085,143697,62875
2020-12-03,210655,1095,147116,62444
2020-12-04,214363,1113,151209,62041
2020-12-05,216963,1134,153856,61973
2020-12-06,219175,1151,155830,62194
2020-12-07,221503,1174,158992,61337
2020-12-08,224077,1189,161972,60916
2020-12-09,227504,1208,165969,60327
2020-12-10,230706,1228,170573,58905
2020-12-11,233417,1245,173944,58228
2020-12-12,235513,1259,177212,57042
2020-12-13,237476,1277,179419,56780
2020-12-14,239407,1293,182064,56050
2020-12-15,242444,1306,183827,57311
2020-12-16,245656,1327,187697,56632
2020-12-17,248340,1347,189992,57001
2020-12-18,250771,1361,192045,57365
2020-12-19,252785,1379,193773,57633
2020-12-20,254588,1390,195683,57515
2020-12-21,256873,1403,198187,57283
2020-12-22,259527,1416,202210,55901
2020-12-23,262451,1430,206138,54883
2020-12-24,264998,1442,209128,54428
2020-12-25,265989,1453,212812,51724
2020-12-26,266804,1468,215404,49932
2020-12-27,268515,1482,217605,49428
2020-12-28,271267,1498,219916,49853
2020-12-29,273898,1510,222474,49914
2020-12-30,278604,1518,225876,51210
2020-12-31,281727,1532,229067,51128
2021-01-01,283683,1547,231763,50373
2021-01-02,285528,1558,233845,50125
2021-01-03,287701,1567,235794,50340
2021-01-04,291091,1578,237713,51800
2021-01-05,294913,1600,240721,52592
2021-01-06,299536,1616,243916,54004
2021-01-07,303378,1627,246576,55175
2021-01-08,306008,1641,248992,55375
2021-01-09,308333,1658,250996,55679
2021-01-10,309807,1674,252786,55347
2021-01-11,311956,1685,255055,55216
2021-01-12,314874,1695,257685,55494
2021-01-13,317631,1709,260589,55333
2021-01-14,320056,1721,263117,55218
2021-01-15,322215,1739,264105,56371
2021-01-16,323796,1752,264911,57133
2021-01-17,324869,1766,266614,56489
2021-01-18,326177,1777,269350,55050
2021-01-19,328329,1792,271971,54566
2021-01-20,330423,1805,276660,51958
2021-01-21,333063,1817,279774,51472
2021-01-22,334827,1830,281719,51278
2021-01-23,336335,1843,283553,50939
2021-01-24,337186,1853,285715,49618
2021-01-25,338603,1865,289093,47645
2021-01-26,340617,1879,292898,45840
2021-01-27,342383,1888,297501,42994
2021-01-28,343893,1900,301327,40666
2021-01-29,345375,1907,303938,39530
2021-01-30,346565,1913,306247,38405
2021-01-31,347152,1922,307710,37520
2021-02-01,348352,1925,309841,36586
2021-02-02,349942,1933,312744,35265
2021-02-03,351215,1940,315481,33794
2021-02-04,352438,1951,317900,32587
2021-02-05,353646,1956,320040,31650
2021-02-06,354559,1967,321611,30981
2021-02-07,355073,1977,322680,30416
2021-02-08,356003,1983,323977,30043
2021-02-09,357307,1986,326118,29203
2021-02-10,358557,1991,328206,28360
2021-02-11,359599,1996,330840,26763
2021-02-12,360542,2000,332594,25948
2021-02-13,361253,2008,334090,25155
2021-02-14,361716,2009,334937,24770
2021-02-15,362297,2012,336345,23940
2021-02-16,363194,2016,338347,22831
2021-02-17,364342,2021,340107,22214
2021-02-18,365200,2029,341608,21563
2021-02-19,365984,2033,343079,20872
2021-02-20,366687,2038,344265,20384
2021-02-21,367021,2040,344842,20139
2021-02-22,367735,2047,346037,19651
2021-02-23,368558,2056,347618,18884
2021-02-24,369392,2059,348884,18449
2021-02-25,370047,2061,350105,17881
2021-02-26,370734,2066,351309,17359
2021-02-27,371199,2069,352220,16910
2021-02-28,371462,2074,352732,16656
2021-03-01,371945,2078,353658,16209
2021-03-02,372668,2082,354959,15627
2021-03-03,373286,2086,356202,14998
2021-03-04,373839,2088,357240,14511
2021-03-05,374399,2093,358180,14126
2021-03-06,374815,2094,358889,13832
2021-03-07,375068,2096,359349,13623
2021-03-08,375626,2102,359929,13595
2021-03-09,376280,2105,360822,13353
2021-03-10,376942,2108,361963,12871
2021-03-11,377463,2110,362816,12537
2021-03-12,377957,2111,363596,12250
2021-03-13,378355,2117,364297,11941
2021-03-14,378577,2118,364629,11830
2021-03-15,379061,2119,365340,11602
2021-03-16,379756,2121,366157,11478
2021-03-17,380322,2124,366987,11211
2021-03-18,380769,2128,367637,11004
2021-03-19,381227,2130,368322,10775
2021-03-20,381599,2132,368786,10681
2021-03-21,381761,2134,369047,10580
2021-03-22,382147,2135,369528,10484
2021-03-23,382713,2136,370250,10327
2021-03-24,383245,2138,370865,10242
2021-03-25,383696,2139,371417,10140
2021-03-26,384149,2141,371973,10035
2021-03-27,384536,2145,372389,10002
2021-03-28,384728,2147,372640,9941
2021-03-29,385098,2147,373190,9761
2021-03-30,385619,2149,373841,9629
2021-03-31,386114,2149,374501,9464
2021-04-01,386538,2152,375016,9370
2021-04-02,386984,2152,375509,9323
2021-04-03,387327,2154,375907,9266
2021-04-04,387500,2155,376125,9220
2021-04-05,387807,2157,376607,9043
2021-04-06,388418,2158,377302,8958
2021-04-07,388906,2160,377867,8879
2021-04-08,389349,2162,378312,8875
2021-04-09,389753,2162,378768,8823
2021-04-10,390097,2162,379135,8800
2021-04-11,390281,2162,379297,8822
2021-04-12,390642,2162,379682,8798
2021-04-13,391177,2163,380248,8766
2021-04-14,391629,2164,380778,8687
2021-04-15,392097,2165,381227,8705
2021-04-16,392509,2165,381677,8667
2021-04-17,392755,2165,382062,8528
2021-04-18,392957,2166,382253,8538
